SEQPRODUTO;DESCCOMPLETA;CODACESSO;QTDEMBALAGEM;NIVEL 0;NIVEL 1;NIVEL 2;NIVEL 3;NIVEL 4;NIVEL 5;NIVEL 6;NIVEL 7
483;EXTINTOR RESIL 1KG;7898923944081;1;GERAL;POSTO COMBUSTIVEL;EXTINTORES;EXTINTORES;EXTINTORES;EXTINTORES;EXTINTORES;EXTINTORES
484;EXTINTOR RESIL ABC 1,5 GKG;7898923944067;1;GERAL;POSTO COMBUSTIVEL;EXTINTORES;EXTINTORES;EXTINTORES;EXTINTORES;EXTINTORES;EXTINTORES
484;EXTINTOR RESIL ABC 1,5 GKG;7898923944074;1;GERAL;POSTO COMBUSTIVEL;EXTINTORES;EXTINTORES;EXTINTORES;EXTINTORES;EXTINTORES;EXTINTORES
485;FLANELA FLABOM 38X58 AMAR;7898907907040;1;GERAL;NAO ALIMENTAR;BAZAR;ACESSORIOS LIMP - ORGANIZ;PANO DE LIMPEZA;FLANELA;FLANELA;FLANELA
486;SFLANELA FLAIBOM BRANCA;7898907907064;1;GERAL;NAO ALIMENTAR;BAZAR;ACESSORIOS LIMP - ORGANIZ;PANO DE LIMPEZA;FLANELA;FLANELA;FLANELA
487;FUSIVEL LAMINA FUZH 10 AMP;7898304300055;1;GERAL;NAO ALIMENTAR;BAZAR;MANUTENCAO;OUTROS;OUTROS;OUTROS;OUTROS
488;FUSIVEL LAMINA FUZH 15 AMP;7898304300062;1;GERAL;NAO ALIMENTAR;BAZAR;MANUTENCAO;OUTROS;OUTROS;OUTROS;OUTROS
489;FUSIVEL LAMINA FUZH 20 AMP;7898304300079;1;GERAL;NAO ALIMENTAR;BAZAR;MANUTENCAO;OUTROS;OUTROS;OUTROS;OUTROS
490;FUSIVEL LAMINA FUZH 25 AMP;7898304300086;1;GERAL;NAO ALIMENTAR;BAZAR;MANUTENCAO;OUTROS;OUTROS;OUTROS;OUTROS
491;FUSIVEL LAMINA FUZH 30 AMP;7898304300093;1;GERAL;NAO ALIMENTAR;BAZAR;MANUTENCAO;OUTROS;OUTROS;OUTROS;OUTROS
492;GRAFITE RICAFIT 15G;7898905621740;1;GERAL;NAO ALIMENTAR;BAZAR;MANUTENCAO;OUTROS;OUTROS;OUTROS;OUTROS
495;AROMAT HIPER ESSENCIA SORTIDO;7694517169683;1;GERAL;NAO ALIMENTAR;BAZAR;DECORACAO;ARTIGOS DECORATIVOS;ARTIGOS DECORATIVOS;ARTIGOS DECORATIVOS;ARTIGOS DECORATIVOS
496;ANTI EMBACANTE HIPERVISEIRA 90M MOT;7694517154627;1;GERAL;NAO ALIMENTAR;BAZAR;AUTOMOTIVO;LIMPEZA AUTO;LIMPA VIDRO;LIMPA VIDRO;LIMPA VIDRO
497;LAVA AUTO IPIRANGA 500ML;7896587321521;1;GERAL;NAO ALIMENTAR;BAZAR;AUTOMOTIVO;LIMPEZA AUTO;SHAMPOO AUTO;SHAMPOO AUTO;SHAMPOO AUTO
498;ODORIZ IPIRANGA 60ML CAPACETE;7896587321637;1;GERAL;NAO ALIMENTAR;BAZAR;AUTOMOTIVO;LIMPEZA AUTO;AROMATIZANTE;AROMATIZANTE;AROMATIZANTE
499;ODORIZ IPIRANGA 60G GEL MARINE;7896587321590;1;GERAL;NAO ALIMENTAR;BAZAR;AUTOMOTIVO;LIMPEZA AUTO;AROMATIZANTE;AROMATIZANTE;AROMATIZANTE
500;ODORIZ IPIRANGA 60ML LAVANDA;7896587321644;1;GERAL;NAO ALIMENTAR;BAZAR;AUTOMOTIVO;LIMPEZA AUTO;AROMATIZANTE;AROMATIZANTE;AROMATIZANTE
501;ODORIZ IPIRANGA 60ML MARINE;7896587321651;1;GERAL;NAO ALIMENTAR;BAZAR;AUTOMOTIVO;LIMPEZA AUTO;AROMATIZANTE;AROMATIZANTE;AROMATIZANTE
502;LAMP AUTO DAYLUX 21W 24V;9989880188170;1;GERAL;POSTO COMBUSTIVEL;AUTOMOTIVOS DIVERSOS;AUTOMOTIVOS DIVERSOS;AUTOMOTIVOS DIVERSOS;AUTOMOTIVOS DIVERSOS;LAMPADAS;LAMPADAS
503;LAMP AUTO DAYLUX 5W 24V;9989880188156;1;GERAL;POSTO COMBUSTIVEL;AUTOMOTIVOS DIVERSOS;AUTOMOTIVOS DIVERSOS;AUTOMOTIVOS DIVERSOS;AUTOMOTIVOS DIVERSOS;LAMPADAS;LAMPADAS
504;LAMP AUTO NEOLUX 5W 24V;4008321769336;1;GERAL;POSTO COMBUSTIVEL;AUTOMOTIVOS DIVERSOS;AUTOMOTIVOS DIVERSOS;AUTOMOTIVOS DIVERSOS;AUTOMOTIVOS DIVERSOS;LAMPADAS;LAMPADAS
505;LAMP AUTO NEOLUX 5W 12V;4052899225930;1;GERAL;POSTO COMBUSTIVEL;AUTOMOTIVOS DIVERSOS;AUTOMOTIVOS DIVERSOS;AUTOMOTIVOS DIVERSOS;AUTOMOTIVOS DIVERSOS;LAMPADAS;LAMPADAS
506;LAMP AUTO DAYLUX 75/70W 24V H4;9989880188071;1;GERAL;POSTO COMBUSTIVEL;AUTOMOTIVOS DIVERSOS;AUTOMOTIVOS DIVERSOS;AUTOMOTIVOS DIVERSOS;AUTOMOTIVOS DIVERSOS;LAMPADAS;LAMPADAS
507;LAMP AUTO DAYLUX 70W 24V H7;9989880188095;1;GERAL;POSTO COMBUSTIVEL;AUTOMOTIVOS DIVERSOS;AUTOMOTIVOS DIVERSOS;AUTOMOTIVOS DIVERSOS;AUTOMOTIVOS DIVERSOS;LAMPADAS;LAMPADAS
508;LAMP AUTO NEOLUX 60/55W 12V;4052899198562;1;GERAL;POSTO COMBUSTIVEL;AUTOMOTIVOS DIVERSOS;AUTOMOTIVOS DIVERSOS;AUTOMOTIVOS DIVERSOS;AUTOMOTIVOS DIVERSOS;LAMPADAS;LAMPADAS
509;LAMP AUTO NEOLUX 55W 12V;4052899198340;1;GERAL;POSTO COMBUSTIVEL;AUTOMOTIVOS DIVERSOS;AUTOMOTIVOS DIVERSOS;AUTOMOTIVOS DIVERSOS;AUTOMOTIVOS DIVERSOS;LAMPADAS;LAMPADAS
510;LAMP AUTO NEOLUX 21W 12V;4052899228061;1;GERAL;POSTO COMBUSTIVEL;AUTOMOTIVOS DIVERSOS;AUTOMOTIVOS DIVERSOS;AUTOMOTIVOS DIVERSOS;AUTOMOTIVOS DIVERSOS;LAMPADAS;LAMPADAS
511;LAVA AUTO AROMACAR 500ML CONCENTRAD;7898104150119;1;GERAL;NAO ALIMENTAR;BAZAR;AUTOMOTIVO;LIMPEZA AUTO;SHAMPOO AUTO;SHAMPOO AUTO;SHAMPOO AUTO
512;LAMP AUTO NEOLUX 2POL PINO DESENCO;4052899225626;1;GERAL;POSTO COMBUSTIVEL;AUTOMOTIVOS DIVERSOS;AUTOMOTIVOS DIVERSOS;AUTOMOTIVOS DIVERSOS;AUTOMOTIVOS DIVERSOS;LAMPADAS;LAMPADAS
513;LAMP AUTO DAYLUX 60/55W 12V H4;7898634130117;1;GERAL;POSTO COMBUSTIVEL;AUTOMOTIVOS DIVERSOS;AUTOMOTIVOS DIVERSOS;AUTOMOTIVOS DIVERSOS;AUTOMOTIVOS DIVERSOS;LAMPADAS;LAMPADAS
513;LAMP AUTO DAYLUX 60/55W 12V H4;9004102344544;1;GERAL;POSTO COMBUSTIVEL;AUTOMOTIVOS DIVERSOS;AUTOMOTIVOS DIVERSOS;AUTOMOTIVOS DIVERSOS;AUTOMOTIVOS DIVERSOS;LAMPADAS;LAMPADAS
515;LAMP AUTO GE 55W 12V H1;43168609692;1;GERAL;NAO ALIMENTAR;BAZAR;MANUTENCAO;LAMPADA;INCANDESCENTE;INCANDESCENTE;INCANDESCENTE
515;LAMP AUTO GE 55W 12V H1;0043168609692;1;GERAL;NAO ALIMENTAR;BAZAR;MANUTENCAO;LAMPADA;INCANDESCENTE;INCANDESCENTE;INCANDESCENTE
516;LAMP AUTO OSRAM 5W 12V P21;4050300525129;1;GERAL;POSTO COMBUSTIVEL;AUTOMOTIVOS DIVERSOS;AUTOMOTIVOS DIVERSOS;AUTOMOTIVOS DIVERSOS;AUTOMOTIVOS DIVERSOS;LAMPADAS;LAMPADAS
518;LAMP AUTO PHILIPS 21W 12V;8711500490797;1;GERAL;POSTO COMBUSTIVEL;AUTOMOTIVOS DIVERSOS;AUTOMOTIVOS DIVERSOS;AUTOMOTIVOS DIVERSOS;AUTOMOTIVOS DIVERSOS;LAMPADAS;LAMPADAS
519;LAMP AUTO PHILIPS 21/5W 12V P25;8727900384642;1;GERAL;POSTO COMBUSTIVEL;AUTOMOTIVOS DIVERSOS;AUTOMOTIVOS DIVERSOS;AUTOMOTIVOS DIVERSOS;AUTOMOTIVOS DIVERSOS;LAMPADAS;LAMPADAS
520;LAMP AUTO PHILIPS 55/60W 12V H5;8711500879165;1;GERAL;POSTO COMBUSTIVEL;AUTOMOTIVOS DIVERSOS;AUTOMOTIVOS DIVERSOS;AUTOMOTIVOS DIVERSOS;AUTOMOTIVOS DIVERSOS;LAMPADAS;LAMPADAS
521;LAMP AUTO PHILIPS 5W 12V R67;8727900385311;1;GERAL;POSTO COMBUSTIVEL;AUTOMOTIVOS DIVERSOS;AUTOMOTIVOS DIVERSOS;AUTOMOTIVOS DIVERSOS;AUTOMOTIVOS DIVERSOS;LAMPADAS;LAMPADAS
522;LAVA AUTO AROMACAR 500ML;7898104150577;1;GERAL;NAO ALIMENTAR;BAZAR;AUTOMOTIVO;LIMPEZA AUTO;SHAMPOO AUTO;SHAMPOO AUTO;SHAMPOO AUTO
523;LIMP PARABRISA SD 100ML;7891551983491;1;GERAL;NAO ALIMENTAR;BAZAR;AUTOMOTIVO;LIMPEZA AUTO;LIMPA VIDRO;LIMPA VIDRO;LIMPA VIDRO
